iter	Passed	Remaining
0	0	289
1	1	262
2	2	250
3	3	239
4	3	235
5	4	233
6	5	230
7	6	228
8	7	238
9	8	251
10	9	254
11	10	252
12	11	249
13	12	248
14	13	247
15	13	245
16	14	244
17	15	242
18	16	242
19	17	249
20	18	248
21	19	245
22	20	243
23	20	241
24	21	238
25	22	237
26	23	237
27	24	238
28	25	242
29	26	240
30	27	240
31	28	238
32	29	236
33	30	235
34	31	235
35	31	233
36	32	231
37	33	230
38	34	228
39	34	226
40	35	224
41	36	223
42	37	221
43	37	220
44	38	218
45	39	218
46	40	217
47	41	215
48	41	213
49	42	213
50	43	212
51	44	211
52	45	211
53	46	211
54	47	209
55	47	208
56	48	207
57	49	205
58	50	204
59	50	202
60	51	201
61	52	200
62	52	198
63	53	197
64	54	196
65	55	195
66	55	194
67	56	192
68	57	191
69	57	190
70	58	189
71	59	188
72	60	187
73	61	186
74	61	185
75	62	184
76	63	183
77	64	182
78	64	181
79	65	180
80	66	179
81	67	178
82	67	177
83	68	176
84	69	175
85	70	174
86	70	173
87	71	172
88	72	171
89	73	170
90	73	169
91	74	168
92	75	167
93	76	166
94	76	165
95	77	165
96	78	164
97	79	163
98	80	162
99	81	162
100	81	161
101	82	160
102	83	159
103	83	158
104	84	157
105	85	156
106	85	155
107	86	154
108	87	153
109	88	152
110	88	151
111	89	150
112	90	149
113	90	148
114	91	147
115	92	146
116	93	145
117	93	144
118	94	143
119	95	142
120	96	142
121	96	141
122	97	140
123	98	139
124	98	138
125	99	137
126	100	136
127	101	135
128	101	134
129	102	134
130	103	133
131	104	132
132	104	131
133	105	130
134	106	129
135	106	129
136	107	128
137	108	127
138	109	126
139	109	125
140	110	124
141	111	123
142	111	122
143	112	122
144	113	121
145	114	120
146	114	119
147	115	118
148	116	117
149	117	117
150	117	116
151	118	115
152	119	114
153	120	113
154	120	113
155	121	112
156	122	111
157	123	110
158	123	109
159	124	108
160	125	108
161	126	107
162	126	106
163	127	105
164	128	104
165	128	104
166	129	103
167	130	102
168	131	101
169	131	100
170	132	100
171	133	99
172	134	98
173	134	97
174	135	96
175	136	96
176	137	95
177	138	94
178	138	93
179	139	92
180	140	92
181	140	91
182	141	90
183	142	89
184	143	88
185	143	88
186	144	87
187	145	86
188	146	86
189	147	85
190	148	84
191	148	83
192	149	82
193	150	82
194	151	81
195	151	80
196	152	79
197	153	79
198	154	78
199	154	77
200	155	76
201	156	75
202	157	75
203	157	74
204	158	73
205	159	72
206	160	71
207	160	71
208	161	70
209	162	69
210	162	68
211	163	67
212	164	67
213	165	66
214	165	65
215	166	64
216	167	63
217	167	63
218	168	62
219	169	61
220	170	60
221	170	60
222	171	59
223	172	58
224	172	57
225	173	56
226	174	56
227	175	55
228	175	54
229	176	53
230	177	52
231	178	52
232	178	51
233	179	50
234	180	49
235	181	49
236	181	48
237	182	47
238	183	46
239	183	45
240	184	45
241	185	44
242	186	43
243	186	42
244	187	42
245	188	41
246	189	40
247	189	39
248	190	39
249	191	38
250	192	37
251	192	36
252	193	35
253	194	35
254	195	34
255	196	33
256	196	32
257	197	32
258	198	31
259	199	30
260	199	29
261	200	29
262	201	28
263	202	27
264	202	26
265	203	26
266	204	25
267	205	24
268	205	23
269	206	22
270	207	22
271	208	21
272	208	20
273	209	19
274	210	19
275	211	18
276	211	17
277	212	16
278	213	16
279	213	15
280	214	14
281	215	13
282	216	12
283	216	12
284	217	11
285	218	10
286	219	9
287	219	9
288	220	8
289	221	7
290	222	6
291	222	6
292	223	5
293	224	4
294	225	3
295	225	3
296	226	2
297	227	1
298	228	0
299	228	0
